name,status,beginDate,endDate,stationTriplet,latitude,longitude,elevation,countyName,huc
Pine Creek,Biased,--,--,694:UT:SNTL,38.88185,-112.24915,8720.00,Millard,160300051307
Placer Basin,Biased,--,--,696:MT:SNTL,45.41905,-110.08844,8790.00,Sweet Grass,100700020701
Pocket Creek,Biased,--,--,1133:WY:SNTL,42.71210,-109.41120,9370.00,Sublette,140401020505
Poorman Creek,Biased,--,--,932:MT:SNTL,48.12632,-115.62340,5050.00,Lincoln,170101011301
Pope Ridge,Biased,--,--,699:WA:SNTL,47.99090,-120.56622,3600.00,Chelan,170200100204
Porcupine,Biased,--,--,700:MT:SNTL,46.11192,-110.46960,6480.00,Park,100700030303
Powder River Pass,Biased,--,--,703:WY:SNTL,44.16188,-107.12622,9480.00,Johnson,100800080304
Prairie,Biased,--,--,704:ID:SNTL,43.50513,-115.57300,4800.00,Elmore,170501131103
Puhi Flat,Biased,--,--,782:ID:SNTL,44.77091,-116.24805,6240.00,Adams,170501240401
Quartz Mountain,Biased,--,--,706:OR:SNTL,42.31923,-120.82533,5710.00,Lake,180102020404
Ragged Mountain,Biased,--,--,1081:ID:SNTL,47.85583,-117.03667,4210.00,Kootenai,170103050302
Rainy Pass,Biased,--,--,711:WA:SNTL,48.51865,-120.73580,4880.00,Chelan,171100050503
Redden Mine Lwr,Biased,--,--,1225:UT:SNTL,40.67505,-111.21765,8540.00,Summit,160201010103
Rees Flat,Biased,--,--,1217:UT:SNTL,39.49667,-111.72508,7180.00,Juab,160300050202
Rex River,Biased,--,--,911:WA:SNTL,47.30218,-121.60475,3810.00,King,171100120102
Rock Creek,Biased,--,--,720:UT:SNTL,40.54875,-110.69292,7880.00,Duchesne,140600030304
Rock Springs,Biased,--,--,721:OR:SNTL,44.00883,-118.83842,5290.00,Grant,170501160204
Rogger Meadow AM,Biased,--,--,1220:OR:SNTLT,42.16528,-120.24747,6360.00,Lake,171200070305
Saddle Mountain,Biased,--,--,726:OR:SNTL,45.54475,-123.37331,3090.00,Washington,170900100201
Santaquin Meadows,Biased,--,--,1280:UT:SNTL,39.92076,-111.71802,7830.00,Utah,160202010301
Santiam Jct.,Biased,--,--,733:OR:SNTL,44.43503,-121.94502,3740.00,Linn,170900040201
Sasse Ridge,Biased,--,--,734:WA:SNTL,47.38485,-121.06323,4340.00,Kittitas,170300010104
Satus Pass,Biased,--,--,1231:WA:SNTL,45.98797,-120.67734,3960.00,Klickitat,170701060301
Sawmill Ridge,Biased,--,--,1068:WA:SNTL,47.15992,-121.42172,4640.00,King,171100130104
Schneider Meadows,Biased,--,--,736:OR:SNTL,45.00107,-117.16522,5400.00,Baker,170502010603
Schwartz Lake,Biased,--,--,915:ID:SNTL,44.84618,-113.83732,8620.00,Lemhi,170602040604
Schweitzer Basin,Biased,--,--,738:ID:SNTL,48.37428,-116.63917,6090.00,Bonner,170102150502
Schweitzer Saddle,Biased,--,--,1038:ID:SNTL,48.37431,-116.63926,6090.00,Bonner,170102150502
Seine Creek,Biased,--,--,743:OR:SNTL,45.52688,-123.29857,2070.00,Washington,170900100203
Sentinel Butte,Biased,--,--,1043:WA:SNTL,48.86133,-118.39843,4680.00,Ferry,170200021705
Sevenmile Marsh,Biased,--,--,745:OR:SNTL,42.69825,-122.14165,5690.00,Klamath,180102030104
Sheep Canyon,Biased,--,--,748:WA:SNTL,46.19325,-122.25393,3990.00,Cowlitz,170800050601
Shell Creek,Biased,--,--,751:WY:SNTL,44.50012,-107.42947,9570.00,Big Horn,100800100101
Sherman Valley AM,Biased,--,--,1219:OR:SNTLT,42.35720,-120.22522,6640.00,Lake,171200070401
