name,status,beginDate,endDate,stationTriplet,latitude,longitude,elevation,countyName,huc
Brundage Reservoir,Complete,1985-10-01 00:00,2100-01-01 00:00,370:ID:SNTL,45.04315,-116.13253,6280.00,Adams,170602100104
Buck Flat,Complete,1978-10-01 00:00,2100-01-01 00:00,371:UT:SNTL,39.13400,-111.43722,9410.00,Sanpete,140600090302
Buck Pasture,Complete,2011-11-23 00:00,2100-01-01 00:00,1192:UT:SNTL,40.84456,-110.66068,9620.00,Summit,140401070301
Buckboard Flat,Complete,2012-10-01 00:00,2100-01-01 00:00,1153:UT:SNTL,37.86943,-109.44717,8920.00,San Juan,140802030103
Buckskin Joe,Complete,1998-08-10 00:00,2100-01-01 00:00,938:CO:SNTL,39.30378,-106.11316,11160.00,Park,101900010102
Buckskin Lower,Complete,1980-10-01 00:00,2100-01-01 00:00,373:NV:SNTL,41.75067,-117.53182,6920.00,Humboldt,160401090502
Buffalo Park,Complete,1995-09-01 00:00,2100-01-01 00:00,913:CO:SNTL,40.22838,-106.59620,9240.00,Grand,140100010706
Bunchgrass Mdw,Complete,1979-10-01 00:00,2100-01-01 00:00,376:WA:SNTL,48.68688,-117.17633,5020.00,Pend Oreille,170102160401
Burnside Lake,Complete,2003-10-01 00:00,2100-01-01 00:00,1051:CA:SNTL,38.71943,-119.89420,8180.00,Alpine,160502010107
Burnt Mtn,Complete,2000-09-30 00:00,2100-01-01 00:00,981:MT:SNTL,45.24010,-109.45961,5920.00,Carbon,100700060802
Burro Mountain,Complete,1978-10-01 00:00,2100-01-01 00:00,378:CO:SNTL,39.87504,-107.59902,9290.00,Rio Blanco,140500050302
Burts Miller Ranch,Complete,2009-10-01 00:00,2100-01-01 00:00,1135:UT:SNTL,40.98492,-110.85075,7900.00,Summit,160101010105
Butte,Complete,1979-10-01 00:00,2100-01-01 00:00,380:CO:SNTL,38.89435,-106.95327,10190.00,Gunnison,140200010206
Calamity,Complete,2008-08-21 00:00,2100-01-01 00:00,1109:WA:SNTL,45.90362,-122.21633,2510.00,Skamania,170800020603
Canyon,Complete,1960-10-01 00:00,2100-01-01 00:00,384:WY:SNTL,44.71961,-110.51084,7870.00,Park,100700010705
Carrot Basin,Complete,1966-10-01 00:00,2100-01-01 00:00,385:MT:SNTL,44.96192,-111.29403,9200.00,Gallatin,100200080105
Carson Pass,Complete,2004-10-01 00:00,2100-01-01 00:00,1067:CA:SNTL,38.69270,-120.00220,8360.00,Alpine,180201290101
Cascade,Complete,1978-10-01 00:00,2022-10-01 00:00,386:CO:SNTL,37.65083,-107.80602,8900.00,San Juan,140801040201
Cascade #2,Complete,1990-09-30 00:00,2100-01-01 00:00,387:CO:SNTL,37.65751,-107.80287,8990.00,San Juan,140801040201
Cascade Mountain,Complete,2002-10-17 00:00,2100-01-01 00:00,1039:UT:SNTL,40.28300,-111.60992,7750.00,Utah,160202030505
Casper Mtn.,Complete,1962-01-01 00:00,2100-01-01 00:00,389:WY:SNTL,42.73362,-106.31789,7940.00,Natrona,101800070804
Cave Mountain,Complete,2011-10-01 00:00,2100-01-01 00:00,1152:NV:SNTL,39.16337,-114.61330,10580.00,White Pine,160600080402
Chalender,Complete,2009-05-15 00:00,2100-01-01 00:00,1139:AZ:SNTL,35.26238,-112.06221,7020.00,Coconino,150602020305
Chamita,Complete,1978-10-01 00:00,2100-01-01 00:00,394:NM:SNTL,36.95606,-106.65723,8370.00,Rio Arriba,130201020204
Chapman Tunnel,Complete,2007-09-01 00:00,2100-01-01 00:00,1101:CO:SNTL,39.26210,-106.62944,10090.00,Pitkin,140100040504
Chena Lakes,Complete,2020-08-20 00:00,2100-01-01 00:00,1260:AK:SNTL,64.75793,-147.21823,500.00,Fairbanks North Star,190803060901
Chisana,Complete,2007-10-01 00:00,2100-01-01 00:00,1093:AK:SNTL,62.06947,-142.04919,3320.00,Valdez-Cordova,190803010305
Chocolate Gulch,Complete,1992-10-01 00:00,2100-01-01 00:00,895:ID:SNTL,43.76850,-114.41812,6310.00,Blaine,170402190301
Cinnabar Park,Complete,1999-06-13 00:00,2100-01-01 00:00,1046:WY:SNTL,41.23843,-106.23101,9670.00,Albany,101800100503
Clayton Springs,Complete,2000-10-01 00:00,2100-01-01 00:00,983:UT:SNTL,37.97250,-111.83355,10010.00,Garfield,160300020501
Clear Creek #1,Complete,1978-01-01 00:00,2100-01-01 00:00,399:UT:SNTL,39.86671,-111.28363,8960.00,Utah,160202020102
Clear Lake,Complete,1979-10-01 00:00,2100-01-01 00:00,401:OR:SNTL,45.18832,-121.69160,3810.00,Wasco,170703060901
Cochetopa Pass,Complete,2004-09-01 00:00,2100-01-01 00:00,1059:CO:SNTL,38.16273,-106.59880,10020.00,Saguache,130100040203
Coldfoot,Complete,1994-10-01 00:00,2100-01-01 00:00,958:AK:SNTL,67.25333,-150.18300,1070.00,Yukon-Koyukuk,190901010604
Cole Creek,Complete,1960-10-01 00:00,2100-01-01 00:00,407:MT:SNTL,45.19405,-109.34548,7910.00,Carbon,100700060801
Columbine,Complete,1978-10-01 00:00,2100-01-01 00:00,408:CO:SNTL,40.39591,-106.60437,9170.00,Jackson,101800010102
Columbine Pass,Complete,1985-10-01 00:00,2100-01-01 00:00,409:CO:SNTL,38.41819,-108.38313,9160.00,Montrose,140200050202
Columbus Basin,Complete,1994-08-30 00:00,2100-01-01 00:00,904:CO:SNTL,37.44146,-108.02468,10780.00,La Plata,140801050101
Combination,Complete,1965-10-01 00:00,2100-01-01 00:00,410:MT:SNTL,46.46523,-113.39358,5620.00,Granite,170102020401
Cool Creek,Complete,1983-10-01 00:00,2100-01-01 00:00,411:ID:SNTL,46.76361,-115.29528,6310.00,Clearwater,170603070702
Cooper Lake,Complete,1981-10-01 00:00,2100-01-01 00:00,959:AK:SNTL,60.39027,-149.69360,1150.00,Kenai Peninsula,190203021205
Copeland Lake,Complete,1979-10-01 00:00,2100-01-01 00:00,412:CO:SNTL,40.20733,-105.56950,8570.00,Boulder,101900050202
Copper Camp,Complete,1978-10-01 00:00,2100-01-01 00:00,414:MT:SNTL,47.08158,-112.72955,6980.00,Lewis and Clark,170102030103
Copper Mountain,Complete,1978-10-01 00:00,2100-01-01 00:00,415:CO:SNTL,39.48917,-106.17154,10500.00,Summit,140100020302
Corduroy Flat,Complete,2011-12-23 09:00,2100-01-01 00:00,1209:NV:SNTL,38.99651,-115.42478,8640.00,White Pine,160600121206
Coronado Trail,Complete,1978-10-01 00:00,2100-01-01 00:00,416:AZ:SNTL,33.80418,-109.15352,8400.00,Apache,150400040501
Corral,Complete,2013-10-01 00:00,2100-01-01 00:00,1236:UT:SNTL,39.65795,-110.37906,8210.00,Carbon,140600070903
Corral Canyon,Complete,1978-10-01 00:00,2100-01-01 00:00,417:NV:SNTL,40.27551,-115.54017,8440.00,Elko,160401030401
Couch Summit,Complete,2021-10-07 00:00,2100-01-01 00:00,1306:ID:SNTL,43.51762,-114.80214,6770.00,Camas,170501130204
County Line,Complete,1979-10-01 00:00,2100-01-01 00:00,422:OR:SNTL,45.19107,-118.55015,4840.00,Umatilla,170601040202
Cozy Cove,Complete,1978-10-01 00:00,2100-01-01 00:00,423:ID:SNTL,44.28846,-115.65508,5410.00,Valley,170501200403
Crab Creek,Complete,1979-10-01 00:00,2100-01-01 00:00,424:ID:SNTL,44.43700,-111.99384,6870.00,Clark,170402140108
Crater Meadows,Complete,1983-10-01 00:00,2100-01-01 00:00,425:ID:SNTL,46.56394,-115.28903,5960.00,Clearwater,170603070502
Crazyman Flat,Complete,2001-09-01 00:00,2100-01-01 00:00,1010:OR:SNTL,42.63810,-120.94917,6190.00,Klamath,180102020101
Crosho,Complete,1985-10-01 00:00,2100-01-01 00:00,426:CO:SNTL,40.16749,-107.05769,8960.00,Rio Blanco,140500010106
Crow Creek,Complete,2003-08-01 00:00,2100-01-01 00:00,1045:WY:SNTL,41.22824,-105.38571,8320.00,Albany,101900090104
Crystal Lake,Complete,1967-09-01 00:00,2100-01-01 00:00,427:MT:SNTL,46.78936,-109.51202,6130.00,Fergus,100401030204
Css Lab,Complete,1980-10-01 00:00,2100-01-01 00:00,428:CA:SNTL,39.32565,-120.36807,6880.00,Nevada,180201250602
Culebra #2,Complete,1978-10-01 00:00,2100-01-01 00:00,430:CO:SNTL,37.20939,-105.19988,10570.00,Costilla,130100020902
Cumbres Trestle,Complete,1979-10-01 00:00,2100-01-01 00:00,431:CO:SNTL,37.01877,-106.45275,10030.00,Conejos,130201020203
Daisy Peak,Complete,1977-09-01 00:00,2100-01-01 00:00,919:MT:SNTL,46.66858,-110.33022,7590.00,Meagher,100402010106
Daly Creek,Complete,1966-10-01 00:00,2100-01-01 00:00,433:MT:SNTL,46.18367,-113.85330,5780.00,Ravalli,170102050901
Daly Lake,Complete,1978-10-01 00:00,2100-01-01 00:00,434:OR:SNTL,44.52147,-122.08718,3690.00,Linn,170900060101
Daniels-Strawberry,Complete,1978-10-01 00:00,2100-01-01 00:00,435:UT:SNTL,40.29530,-111.25677,8010.00,Wasatch,140600040101
Darkhorse Lake,Complete,1977-08-01 00:00,2100-01-01 00:00,436:MT:SNTL,45.17368,-113.58460,8930.00,Beaverhead,100200040301
Deadman Hill,Complete,1978-10-01 00:00,2100-01-01 00:00,438:CO:SNTL,40.80572,-105.77018,10240.00,Larimer,101900070502
Deadwood Summit,Complete,1978-10-01 00:00,2100-01-01 00:00,439:ID:SNTL,44.54492,-115.56386,6990.00,Valley,170501200401
Deer Park,Complete,1997-08-14 00:00,2100-01-01 00:00,923:WY:SNTL,42.59076,-108.90273,9690.00,Fremont,100800030101
Defiance Mines,Complete,2011-12-22 00:00,2100-01-01 00:00,1210:NV:SNTL,39.08527,-114.89977,9320.00,White Pine,160600081002
Derr.,Complete,1979-10-01 00:00,2100-01-01 00:00,440:OR:SNTL,44.44650,-119.93012,5850.00,Wheeler,170703040401
Diamond Peak,Complete,1983-10-01 00:00,2100-01-01 00:00,443:NV:SNTL,39.56361,-115.84421,8030.00,Eureka,160600051503
Dills Camp,Complete,1978-10-01 00:00,2100-01-01 00:00,444:UT:SNTL,39.04554,-111.46875,9240.00,Sanpete,140700020201
Disaster Peak,Complete,1980-10-01 00:00,2100-01-01 00:00,445:NV:SNTL,41.96737,-118.18934,6260.00,Humboldt,160402010201
Divide Peak,Complete,1979-10-01 00:00,2100-01-01 00:00,449:WY:SNTL,41.30399,-107.15255,8700.00,Carbon,140500030203
Donkey Reservoir,Complete,1985-10-01 00:00,2100-01-01 00:00,452:UT:SNTL,38.20840,-111.47412,9800.00,Wayne,140700030305
Draw Creek,Complete,1983-10-01 00:00,2100-01-01 00:00,454:NV:SNTL,41.66100,-115.32340,7300.00,Elko,160401010403
Dry Bread Pond,Complete,1978-10-01 00:00,2100-01-01 00:00,455:UT:SNTL,41.41289,-111.53770,8290.00,Cache,160102030101
Dry Creek,Complete,2013-10-01 00:00,2100-01-01 00:00,1243:NV:SNTL,40.86380,-115.22014,6560.00,Elko,160401010601
Dry Fork,Complete,1994-10-01 00:00,2100-01-01 00:00,906:UT:SNTL,40.56533,-112.17343,7190.00,Salt Lake,160202040106
Dry Lake,Complete,1979-10-01 00:00,2100-01-01 00:00,457:CO:SNTL,40.53370,-106.78140,8240.00,Routt,140500010409
Eagle Summit,Complete,1997-10-01 00:00,2100-01-01 00:00,960:AK:SNTL,65.48588,-145.41212,3630.00,Yukon-Koyukuk,190804010801
East Palmer,Complete,2018-07-23 00:00,2023-11-12 12:00,953:AK:SNTL,61.59858,-149.09637,240.00,Matanuska-Susitna,190204020709
East Willow Creek,Complete,1986-08-06 00:00,2100-01-01 00:00,461:UT:SNTL,39.31213,-109.53179,8310.00,Grand,140600060205
Ebbetts Pass,Complete,1978-10-01 00:00,2100-01-01 00:00,462:CA:SNTL,38.54970,-119.80468,8660.00,Alpine,160502010104
Echo Lake,Complete,1998-08-10 00:00,2100-01-01 00:00,936:CO:SNTL,39.65539,-105.59358,10660.00,Clear Creek,101900020801
Echo Peak,Complete,1980-10-01 00:00,2100-01-01 00:00,463:CA:SNTL,38.84900,-120.07950,7650.00,El Dorado,160501010303
EF Blacks Fork GS,Complete,2010-10-22 00:00,2100-01-01 00:00,1163:UT:SNTL,40.88472,-110.54056,9360.00,Summit,140401070302
El Diente Peak,Complete,1985-10-01 00:00,2100-01-01 00:00,465:CO:SNTL,37.78607,-108.02235,10210.00,Dolores,140300020202
Elk Butte,Complete,1982-10-01 00:00,2100-01-01 00:00,466:ID:SNTL,46.83998,-116.12233,5680.00,Clearwater,170603080701
Elk Cabin,Complete,1996-10-01 00:00,2100-01-01 00:00,921:NM:SNTL,35.70730,-105.80584,8210.00,Santa Fe,130202010102
Elk River,Complete,1978-10-01 00:00,2100-01-01 00:00,467:CO:SNTL,40.84758,-106.96861,8710.00,Routt,140500010206
Elkhart Park G.S.,Complete,1963-10-01 00:00,2100-01-01 00:00,468:WY:SNTL,43.00657,-109.75893,9410.00,Sublette,140401020103
Elkhead Divide,Complete,2016-09-01 00:00,2100-01-01 00:00,1252:CO:SNTL,40.79637,-107.10113,8780.00,Routt,140500010601
Elliot Ridge,Complete,2009-08-07 00:00,2100-01-01 00:00,1120:CO:SNTL,39.86380,-106.42473,10550.00,Summit,140100020602
Emery Creek,Complete,1975-10-01 00:00,2100-01-01 00:00,469:MT:SNTL,48.43412,-113.93725,4340.00,Flathead,170102090703
Emigrant Summit,Complete,1979-10-01 00:00,2100-01-01 00:00,471:ID:SNTL,42.36055,-111.56085,7390.00,Bear Lake,160102020206
Esther Island,Complete,2004-10-01 00:00,2100-01-01 00:00,1071:AK:SNTL,60.79800,-148.08570,50.00,Valdez-Cordova,190202011605
Fairbanks F.O.,Complete,1981-10-01 00:00,2020-09-28 11:00,1174:AK:SNTL,64.86018,-147.78888,440.00,Fairbanks North Star,190803060907
Fallen Leaf,Complete,1979-10-01 00:00,2100-01-01 00:00,473:CA:SNTL,38.93403,-120.05450,6250.00,El Dorado,160501010401
Farmington Lower,Complete,2003-11-20 00:00,2100-01-01 00:00,1054:UT:SNTL,40.99200,-111.81702,6850.00,Davis,160201020502
Farnsworth Lake,Complete,1980-07-24 00:00,2100-01-01 00:00,475:UT:SNTL,38.77246,-111.67662,9620.00,Sevier,160300030405
Fawn Creek,Complete,1980-10-01 00:00,2100-01-01 00:00,476:NV:SNTL,41.82098,-116.10153,7040.00,Elko,170501040304
Fielding Lake,Complete,2014-08-07 00:00,2100-01-01 00:00,1268:AK:SNTL,63.20260,-145.63442,3000.00,Valdez-Cordova,190803040302
Fish Ck,Complete,2021-09-29 00:00,2100-01-01 00:00,1305:ID:SNTL,43.55545,-113.71931,6380.00,Blaine,170402210401
Fish Lake,Complete,1979-10-01 00:00,2100-01-01 00:00,478:WA:SNTL,47.53565,-121.08553,3430.00,Kittitas,170300010102
Fish Lake Utah,Complete,2010-10-01 00:00,2100-01-01 00:00,1149:UT:SNTL,38.50455,-111.76693,8790.00,Sevier,140700030108
Fisher Creek,Complete,1966-10-01 00:00,2100-01-01 00:00,480:MT:SNTL,45.06235,-109.94488,9110.00,Park,100700060202
Flower Mountain,Complete,2017-08-10 00:00,2100-01-01 00:00,1285:AK:SNTL,59.39617,-136.28123,2540.00,Haines,190103031206
Fool Creek,Complete,2011-07-28 00:00,2100-01-01 00:00,1186:CO:SNTL,39.86866,-105.86765,11130.00,Grand,140100010203
Forestdale Creek,Complete,2003-10-01 00:00,2100-01-01 00:00,1049:CA:SNTL,38.68245,-119.95970,8050.00,Alpine,160502010301
Fort Valley,Complete,2008-06-26 00:00,2100-01-01 00:00,1121:AZ:SNTL,35.26773,-111.74479,7360.00,Coconino,150200150102
Fort Yukon,Complete,1992-10-01 00:00,2100-01-01 00:00,961:AK:SNTL,66.57050,-145.24553,440.00,Yukon-Koyukuk,190705062100
Franklin Basin,Complete,1978-10-01 00:00,2100-01-01 00:00,484:ID:SNTL,42.05050,-111.60120,8140.00,Franklin,160102020501
Fremont Pass,Complete,1979-10-01 00:00,2100-01-01 00:00,485:CO:SNTL,39.38014,-106.19784,11310.00,Summit,140100020301
Frisco Divide,Complete,1971-10-01 00:00,2100-01-01 00:00,486:NM:SNTL,33.73687,-108.94327,8010.00,Catron,150400040303
Frohner Meadow,Complete,1967-10-01 00:00,2100-01-01 00:00,487:MT:SNTL,46.43545,-112.19277,6520.00,Jefferson,100301011305
Frostbite Bottom,Complete,2019-02-07 00:00,2100-01-01 00:00,641:AK:SNTL,61.74699,-149.26769,2690.00,Matanuska-Susitna,190205051202
Fry,Complete,1978-10-01 00:00,2100-01-01 00:00,488:AZ:SNTL,35.07356,-111.84477,7220.00,Coconino,150602020501
Galena Summit,Complete,1978-10-01 00:00,2100-01-01 00:00,490:ID:SNTL,43.87497,-114.71363,8780.00,Blaine,170402190101
Gallegos Peak,Complete,1979-10-01 00:00,2100-01-01 00:00,491:NM:SNTL,36.19418,-105.55742,9460.00,Taos,130201010502
Garden City Summit,Complete,2009-10-01 00:00,2100-01-01 00:00,1114:UT:SNTL,41.92150,-111.46930,7680.00,Cache,160102010106
Garita Peak,Complete,2016-09-23 00:00,2100-01-01 00:00,1173:NM:SNTL,36.00469,-106.54805,10100.00,Rio Arriba,130202020201
GBRC HQ,Complete,2012-10-01 00:00,2100-01-01 00:00,1221:UT:SNTL,39.32019,-111.48827,8800.00,Sanpete,160300040307
George Creek,Complete,2010-10-01 00:00,2100-01-01 00:00,1151:UT:SNTL,41.91562,-113.41154,8960.00,Box Elder,170402100401
Giveout,Complete,1979-10-01 00:00,2100-01-01 00:00,493:ID:SNTL,42.41320,-111.16630,6940.00,Bear Lake,160102010401
Glen Cove,Complete,2004-08-01 00:00,2100-01-01 00:00,1057:CO:SNTL,38.87602,-105.07605,11410.00,Teller,110200030201
Gobblers Knob,Complete,1996-10-01 00:00,2100-01-01 00:00,962:AK:SNTL,66.74500,-150.66750,2040.00,Yukon-Koyukuk,190901020403
Golconda,Complete,2011-10-01 00:00,2100-01-01 00:00,1195:NV:SNTL,40.88358,-117.58812,6630.00,Humboldt,160401080102
Gooseberry RS,Complete,1979-06-27 00:00,2100-01-01 00:00,495:UT:SNTL,38.80034,-111.68333,7930.00,Sevier,160300030405
Gooseberry RS Up,Complete,2011-10-01 00:00,2100-01-01 00:00,1184:UT:SNTL,38.78820,-111.68892,8400.00,Sevier,160300030405
Graham Guard Sta.,Complete,1978-10-01 00:00,2100-01-01 00:00,496:ID:SNTL,43.95380,-115.27387,5680.00,Elmore,170501110303
Grand Targhee,Complete,2006-08-21 00:00,2100-01-01 00:00,1082:WY:SNTL,43.77933,-110.92783,9260.00,Teton,170402040202
Grandview,Complete,1982-10-01 00:00,2100-01-01 00:00,956:AK:SNTL,60.60832,-149.06313,1070.00,Kenai Peninsula,190203021001
Granite Creek,Complete,1987-10-01 00:00,2100-01-01 00:00,497:WY:SNTL,43.34298,-110.43495,6770.00,Teton,170401030304
Granite Crk,Complete,1985-11-01 00:00,2100-01-01 00:00,963:AK:SNTL,63.94382,-145.39993,1250.00,Southeast Fairbanks,190803031306
Granite Peak,Complete,1980-10-01 00:00,2100-01-01 00:00,498:NV:SNTL,41.67032,-117.56668,8500.00,Humboldt,160401090601
Grayback,Complete,2004-09-01 00:00,2100-01-01 00:00,1058:CO:SNTL,37.47051,-106.53790,11620.00,Rio Grande,130100020101
Grizzly Peak,Complete,1979-10-01 00:00,2100-01-01 00:00,505:CO:SNTL,39.64646,-105.86940,11110.00,Summit,140100020201
Grouse Creek Divide,Complete,1988-10-01 00:00,2100-01-01 00:00,964:AK:SNTL,60.25965,-149.34228,720.00,Kenai Peninsula,190203020902
Gulkana River,Complete,2018-06-16 00:00,2100-01-01 00:00,2222:AK:SNTL,62.40962,-145.37513,1830.00,Valdez-Cordova,190201020604
Gunsight Pass,Complete,1998-09-01 00:00,2100-01-01 00:00,944:WY:SNTL,43.38332,-109.87815,9830.00,Sublette,170401020102
Hagans Meadow,Complete,1978-10-01 00:00,2100-01-01 00:00,508:CA:SNTL,38.85190,-119.93740,7740.00,El Dorado,160501010302
Hams Fork,Complete,1984-10-01 00:00,2100-01-01 00:00,509:WY:SNTL,42.14600,-110.67833,7870.00,Lincoln,140401070504
Hannagan Meadows,Complete,1956-10-01 00:00,2100-01-01 00:00,511:AZ:SNTL,33.65352,-109.30877,9030.00,Greenlee,150601010107
Happy Jack,Complete,1999-06-01 00:00,2100-01-01 00:00,969:AZ:SNTL,34.74594,-111.41219,7520.00,Coconino,150602020604
Hardscrabble,Complete,1993-10-01 00:00,2100-01-01 00:00,896:UT:SNTL,40.86833,-111.71865,7270.00,Morgan,160201020105
Harris Flat,Complete,1979-08-04 00:00,2100-01-01 00:00,514:UT:SNTL,37.48997,-112.57602,7800.00,Kane,160300010104
Harts Pass,Complete,1979-10-01 00:00,2100-01-01 00:00,515:WA:SNTL,48.72047,-120.65860,6490.00,Okanogan,171100050501
Hawley Lake,Complete,2015-09-18 00:00,2100-01-01 00:00,1271:AZ:SNTL,33.97121,-109.76531,8290.00,Apache,150601020106
Hayden Fork,Complete,1978-10-01 00:00,2100-01-01 00:00,517:UT:SNTL,40.79669,-110.88472,9160.00,Summit,160101010101
Hayden Pass,Complete,2007-08-28 00:00,2100-01-01 00:00,1102:CO:SNTL,38.29303,-105.85027,10700.00,Saguache,130100030301
Heavenly Valley,Complete,1978-10-01 00:00,2100-01-01 00:00,518:CA:SNTL,38.92431,-119.91641,8540.00,El Dorado,160501010302
Heber,Complete,1953-10-01 00:00,2100-01-01 00:00,519:AZ:SNTL,34.31254,-110.75433,7650.00,Coconino,150200100201
Hemlock Butte,Complete,1982-10-01 00:00,2100-01-01 00:00,520:ID:SNTL,46.48111,-115.63361,5800.00,Clearwater,170603070601
Henrys Fork,Complete,2012-09-11 00:00,2100-01-01 00:00,1193:UT:SNTLT,40.86313,-110.38145,10180.00,Summit,140401060201
Hewinta,Complete,1985-09-19 00:00,2100-01-01 00:00,521:UT:SNTL,40.95009,-110.48419,9510.00,Summit,140401070203
Hickerson Park,Complete,1985-09-17 00:00,2100-01-01 00:00,522:UT:SNTL,40.90663,-109.96287,9130.00,Daggett,140401060501
Hidden Lake,Complete,2000-09-20 00:00,2100-01-01 00:00,988:ID:SNTL,48.89368,-116.75743,5000.00,Boundary,170101040502
High Lonesome,Complete,2011-07-28 00:00,2100-01-01 00:00,1187:CO:SNTL,40.03590,-105.75472,10630.00,Grand,140100010205
High Ridge,Complete,1978-10-01 00:00,2100-01-01 00:00,523:OR:SNTL,45.69682,-118.10657,4900.00,Umatilla,170701030103
Hobble Creek,Complete,2012-10-01 00:00,2100-01-01 00:00,1223:UT:SNTL,40.18538,-111.35971,7360.00,Utah,160202020304
Hogg Pass,Complete,1978-10-01 00:00,2100-01-01 00:00,526:OR:SNTL,44.42042,-121.85655,4800.00,Linn,170900040201
Hole-in-Mountain,Complete,1981-10-01 00:00,2100-01-01 00:00,527:NV:SNTL,40.94168,-115.09540,8170.00,Elko,160600071602
Hole-in-Rock,Complete,1985-09-18 00:00,2100-01-01 00:00,528:UT:SNTL,40.92167,-110.18623,9170.00,Summit,140401060205
Holland Meadows,Complete,1979-10-01 00:00,2100-01-01 00:00,529:OR:SNTL,43.66917,-122.56877,4930.00,Lane,170900020201
Hoodoo Basin,Complete,1966-10-01 00:00,2100-01-01 00:00,530:MT:SNTL,46.97511,-115.03486,6060.00,Mineral,170102040607
Hoosier Pass,Complete,1979-10-01 00:00,2100-01-01 00:00,531:CO:SNTL,39.36092,-106.05999,11600.00,Summit,101900010102
Hopewell,Complete,1978-10-01 00:00,2100-01-01 00:00,532:NM:SNTL,36.71632,-106.26370,10080.00,Rio Arriba,130201021401
Horse Meadow,Complete,2003-10-10 00:00,2100-01-01 00:00,1050:CA:SNTL,38.83652,-119.88732,8580.00,Alpine,160502010302
Horse Ridge,Complete,1978-10-01 00:00,2100-01-01 00:00,533:UT:SNTL,41.31372,-111.44624,8210.00,Morgan,160201010601
Hourglass Lake,Complete,2008-10-01 00:00,2100-01-01 00:00,1122:CO:SNTL,40.57717,-105.62584,9380.00,Larimer,101900070101
Huckleberry Creek,Complete,1997-10-01 00:00,2100-01-01 00:00,928:WA:SNTL,47.06565,-121.58778,2250.00,Pierce,171100140307
Huntington Horse,Complete,2012-10-01 00:00,2100-01-01 00:00,1216:UT:SNTL,39.61774,-111.30576,9650.00,Sanpete,140600070201
Idarado,Complete,1979-10-01 00:00,2100-01-01 00:00,538:CO:SNTL,37.93389,-107.67620,9780.00,Ouray,140200060201
Imnaviat Creek,Complete,1980-10-01 00:00,2100-01-01 00:00,968:AK:SNTL,68.61652,-149.30330,3060.00,North Slope,190604010702
Independence Camp,Complete,1978-10-01 00:00,2100-01-01 00:00,539:CA:SNTL,39.45269,-120.29367,6970.00,Sierra,160501020102
Independence Creek,Complete,1980-10-01 00:00,2100-01-01 00:00,540:CA:SNTL,39.49001,-120.28226,6440.00,Sierra,160501020102
Independence Lake,Complete,1978-10-01 00:00,2100-01-01 00:00,541:CA:SNTL,39.42752,-120.31342,8340.00,Nevada,160501020104
Independence Pass,Complete,1979-10-01 00:00,2100-01-01 00:00,542:CO:SNTL,39.07543,-106.61154,10570.00,Pitkin,140100040101
Indian Rock,Complete,2008-10-01 00:00,2100-01-01 00:00,1129:WA:SNTL,45.99077,-120.80768,5310.00,Klickitat,170701060301
Irish Taylor,Complete,1978-10-01 00:00,2100-01-01 00:00,545:OR:SNTL,43.80368,-121.94793,5540.00,Deschutes,170703010106
Island Park,Complete,1979-10-01 00:00,2100-01-01 00:00,546:ID:SNTL,44.42030,-111.38512,6300.00,Fremont,170402020601
Ivanhoe,Complete,1991-10-01 00:00,2100-01-01 00:00,547:CO:SNTL,39.29228,-106.54907,10540.00,Pitkin,140100040501
Jack Creek Upper,Complete,1978-10-01 00:00,2100-01-01 00:00,548:NV:SNTL,41.54675,-116.00517,7380.00,Elko,170501050201
Jack Wade Jct,Complete,2015-10-01 00:00,2100-01-01 00:00,1275:AK:SNTL,64.14797,-141.32985,3660.00,Southeast Fairbanks,190705022204
Jackson Peak,Complete,1979-10-01 00:00,2100-01-01 00:00,550:ID:SNTL,44.05092,-115.44322,7060.00,Boise,170501200304
Jackwhacker Gulch,Complete,1998-08-01 00:00,2100-01-01 00:00,935:CO:SNTL,39.57096,-105.80355,11030.00,Clear Creek,101900020201
Jakes Creek,Complete,2011-12-23 00:00,2100-01-01 00:00,1211:NV:SNTL,41.56870,-115.03243,7380.00,Elko,170402130308
Joe Wright,Complete,1978-10-01 00:00,2100-01-01 00:00,551:CO:SNTL,40.53285,-105.88747,10140.00,Larimer,101900070204
Johnsons Camp,Complete,2000-10-01 00:00,2100-01-01 00:00,1036:AK:SNTL,64.56460,-164.29257,10.00,Nome,190501042003
Jones Corral,Complete,2007-10-01 00:00,2100-01-01 00:00,1099:UT:SNTL,38.07125,-112.16788,9710.00,Garfield,160300020507
Jones Pass,Complete,1999-09-30 00:00,2100-01-01 00:00,970:CO:SNTL,39.76450,-105.90655,10420.00,Grand,140100010402
Kalamazoo,Complete,2011-10-01 00:00,2100-01-01 00:00,1150:NV:SNTL,39.55790,-114.62762,7740.00,White Pine,160600080700
Kantishna,Complete,2004-10-01 00:00,2100-01-01 00:00,1072:AK:SNTL,63.53667,-150.98593,1590.00,Denali,190803101805
Kelly Station,Complete,1991-10-01 00:00,2100-01-01 00:00,1175:AK:SNTL,67.92970,-162.29060,300.00,Northwest Arctic,190504030802
Kenai Moose Pens,Complete,1982-10-01 00:00,2100-01-01 00:00,966:AK:SNTL,60.72499,-150.47369,300.00,Kenai Peninsula,190203021601
Kilfoil Creek,Complete,2010-10-01 00:00,2100-01-01 00:00,1145:UT:SNTL,41.24764,-111.41249,7230.00,Morgan,160201010603
